iso3,year,month,pop,ACLED_conflict_related_deaths,ACLED_protests,ACLED_strategic_developments,ACLED_violence_against_civilians,ACLED_battles,ACLED_explosions_remote_violence,ACLED_riots,ACLED_events,ACLED_protests_peaceful_protest,ACLED_strategic_developments_change_to_group_activity,ACLED_strategic_developments_arrests,ACLED_protests_protest_with_intervention,ACLED_violence_against_civilians_attack,ACLED_battles_armed_clash,ACLED_battles_government_regains_territory,ACLED_battles_non_state_actor_overtakes_territory,ACLED_explosions_remote_violence_air_drone_strike,ACLED_explosions_remote_violence_remote_explosive_landmine_ied,ACLED_explosions_remote_violence_shelling_artillery_missile_attack,ACLED_explosions_remote_violence_suicide_bomb,ACLED_riots_mob_violence,ACLED_strategic_developments_disrupted_weapons_use,ACLED_strategic_developments_looting_property_destruction,ACLED_strategic_developments_non_violent_transfer_of_territory,ACLED_violence_against_civilians_abduction_forced_disappearance,ACLED_violence_against_civilians_sexual_violence,ACLED_riots_violent_demonstration,ACLED_strategic_developments_agreement,ACLED_strategic_developments_headquarters_or_base_established,ACLED_protests_excessive_force_against_protesters,ACLED_strategic_developments_other,ACLED_explosions_remote_violence_grenade,ACLED_explosions_remote_violence_chemical_weapon,ACLED_Gang_Events,yearmon,region_code,ACLED_conflict_related_deaths_change,ACLED_events_change,ACLED_BRD_per_100k
AGO,1997,3,14660413,63,0,0,2,3,0,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mar 1997,SSA,-0.8819119025304593,-0.5,0.42972868499680056
BDI,1997,3,6070042,176,0,0,10,3,4,0,23,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Mar 1997,SSA,-0.6569200779727096,0.39393939393939403,2.899485703723302
MAR,1997,3,27213337,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mar 1997,MNA,NA,NA,0.007349337569295527
UGA,1997,3,21856046,11,0,0,1,1,1,1,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Mar 1997,SSA,-0.4883720930232558,0,0.050329323062369105
SDN,1997,3,25799821,517,1,0,1,40,7,0,50,1,0,0,0,1,20,4,14,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Mar 1997,SSA,-0.46865364850976365,0.6949152542372881,2.0038898719491116
COD,1997,3,46029902,145,2,11,6,24,1,1,47,2,4,0,0,3,12,0,12,0,0,0,0,0,0,1,4,0,0,1,0,0,0,2,0,0,4,Mar 1997,SSA,NA,NA,0.3150126194055334
NGA,1997,3,116754792,34,0,0,7,5,0,4,20,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,4,Mar 1997,SSA,0.7435897435897436,0.11111111111111116,0.029120860409738044
ZAF,1997,3,45666838,2,1,0,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,Mar 1997,SSA,-0.33333333333333337,0,0.004379545612507702
EGY,1997,3,68431740,14,2,1,2,0,0,0,4,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mar 1997,MNA,0.33333333333333326,-0.11111111111111116,0.02045834286838242
COG,1997,3,2887862,1,3,0,1,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mar 1997,SSA,-0.9166666666666666,0.33333333333333326,0.0346276934285641
CAF,1997,3,3531700,7,0,0,1,4,0,0,5,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mar 1997,SSA,-0.06666666666666665,-0.23076923076923073,0.1982048305348699
KEN,1997,3,28101768,179,0,0,3,3,0,0,8,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Mar 1997,SSA,22.866666666666667,0.33333333333333326,0.636970599145221
SEN,1997,3,9283495,32,0,0,1,4,0,2,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,Mar 1997,SSA,NA,NA,0.34469776738178887
CMR,1997,3,13775214,6,0,0,1,7,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Mar 1997,SSA,NA,NA,0.043556492116928275
RWA,1997,4,7755238,187,0,0,4,2,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Apr 1997,SSA,0.4496124031007751,-0.44067796610169496,2.411273516041674
BDI,1997,4,6070042,275,0,0,3,13,3,0,26,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Apr 1997,SSA,-0.3136439267886856,0.3928571428571428,4.5304464120676595
ZAF,1997,4,45666838,7,1,0,1,2,2,0,8,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Apr 1997,SSA,1.625,0.6000000000000001,0.015328409643776957
DZA,1997,4,29579301,415,0,0,9,0,2,0,11,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apr 1997,MNA,0.360655737704918,-0.56,1.4030081373457743
SDN,1997,4,25799821,697,1,3,0,28,9,0,41,0,0,0,1,0,11,7,10,1,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Apr 1997,SSA,-0.15103532277710108,0.12844036697247696,2.7015691310416456
NGA,1997,4,116754792,108,1,0,3,13,0,1,18,1,0,0,0,2,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Apr 1997,SSA,3.4383561643835616,-0.03571428571428581,0.09250155659563848
EGY,1997,4,68431740,4,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apr 1997,MNA,-0.6571428571428571,-0.5384615384615384,0.005845240819537834
COD,1997,4,46029902,48,3,13,7,20,1,4,47,2,4,0,1,6,9,0,10,0,0,1,0,2,0,1,7,1,0,2,0,1,0,0,0,0,1,Apr 1997,SSA,-0.6689655172413793,0,0.10428003952734899
KEN,1997,4,28101768,7,2,0,3,1,0,0,7,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Apr 1997,SSA,-0.8917525773195877,0.050000000000000044,0.024909464771042167
ETH,1997,4,61404539,1,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Apr 1997,SSA,-0.5,1.6666666666666665,0.0016285441048584373
UGA,1997,4,21856046,188,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apr 1997,SSA,9.444444444444445,0,0.8601738850659447
SOM,1997,4,7824525,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Apr 1997,SSA,1,1,0.025560657036689124
AGO,1997,4,14660413,200,0,0,1,2,0,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apr 1997,SSA,-0.46902654867256643,-0.64,1.3642180476088908
RWA,1997,5,7755238,78,0,1,7,1,0,0,15,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,May 1997,SSA,-0.4564459930313589,-0.1428571428571429,1.0057718409157783
KEN,1997,5,28101768,22,0,0,0,4,0,3,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,May 1997,SSA,-0.5621890547263682,0.03703703703703698,0.07828688928041823
BDI,1997,5,6070042,377,1,0,9,15,0,0,29,1,0,0,0,4,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,May 1997,SSA,0.02098849018280302,0.41463414634146334,6.210830172180028
